Image,Map Name,Map number,Story Name,Story URL,Story Number,Publication,Date of Publication,Map Extent Code,Map Url,Advertisement,Questionable to include,Map image in photo,Map image in art
https://uwmadison.box.com/s/uvorcmu7m026pqshs7zb,Firestone Plantation,ProPub_map001,Firestone and The Warlord,https://www.propublica.org/article/firestone-and-the-warlord-chapter-1,ProPub_story001,ProPublica Online,18-Nov-14,,https://www.propublica.org/article/firestone-and-the-warlord-chapter-1,FALSE,FALSE,FALSE,FALSE
images/WaPoOnline_AfricaLongestServingLeaders_Oct31.JPG,Africa's Longest-Serving Leaders,WaPo_map003,Burkina Faso’s long-serving leader resigns – and why it matters,http://www.washingtonpost.com/blogs/worldviews/wp/2014/10/30/why-burkina-fasos-attempt-to-topple-a-long-serving-leader-matters/,WaPo_story003,Washington Post Online,31-Oct-14,Map_extent028,http://www.washingtonpost.com/blogs/worldviews/wp/2014/10/30/why-burkina-fasos-attempt-to-topple-a-long-serving-leader-matters/,FALSE,FALSE,FALSE,FALSE
images/WaPoOnline_AfricaNoEbola_Nov3.JPG,Map of Africa for the Geographically Challenged (title from original source),WaPo_map002,Map: The Africa without Ebola,http://www.washingtonpost.com/blogs/worldviews/wp/2014/11/03/map-the-africa-without-ebola/,WaPo_story002,Washington Post Online,3-Nov-14,Map_extent028,http://www.washingtonpost.com/blogs/worldviews/wp/2014/11/03/map-the-africa-without-ebola/,FALSE,FALSE,FALSE,FALSE
images/WaPoOnline_MaritimeRoutes_Nov3.JPG,Major migrant routes into Europe,WaPo_map001,Migrant boat sinking in Turkey points to new Black Sea smuggling routes,http://www.washingtonpost.com/blogs/worldviews/wp/2014/11/03/migrant-boat-sinking-in-turkey-points-to-new-black-sea-smuggling-routes/,WaPo_story001,Washington Post Online,3-Nov-14,Map_extent029,http://www.washingtonpost.com/blogs/worldviews/wp/2014/11/03/migrant-boat-sinking-in-turkey-points-to-new-black-sea-smuggling-routes/,FALSE,FALSE,FALSE,FALSE
images/Eco_map028.JPG,Military spending % change,Eco_map028,Defense spending: Arms and the African,https://uwmadison.box.com/s/fw7hghcrxk8wx8bfmz1j,Eco_story028,The Economist,22-Nov-14,Map_extent028,,FALSE,FALSE,FALSE,FALSE
images/Eco_map027.JPG,Tanzania,Eco_map027,The status of Zanzibar: Imperfect union,https://uwmadison.box.com/s/9pk0cooqk08v0oxgqluo,Eco_story027,The Economist,22-Nov-14,Map_extent027,,FALSE,FALSE,FALSE,FALSE
images/Eco_map026.JPG,Pipelines (USA and Canada),Eco_map026,Keystone XL: Back in the Pipeline,https://uwmadison.box.com/s/jccbwka7y5z55m7kerm3,Eco_story026,The Economist,22-Nov-14,Map_extent026,,FALSE,FALSE,FALSE,FALSE
images/Eco_map025.JPG,Iran Nuclear Sites,Eco_map025,Nuclear talks: Iran's choice,https://uwmadison.box.com/s/k7d2jnda1y6yp6td53jn,Eco_story025,The Economist,22-Nov-14,Map_extent025,,FALSE,FALSE,FALSE,FALSE
images/Eco_ad005.JPG,Globe image in ad,Eco_admap005,"Master of International Business, Tufts University ad",https://uwmadison.box.com/s/43u6f4b0z40pgl7oj706,Eco_ad005,The Economist,15-Nov-14,Ad_extent005,,TRUE,FALSE,FALSE,FALSE
images/Eco_map024.JPG,Drawing of men standing around a map,Eco_map024,European history: Reactionary days,https://uwmadison.box.com/s/x70903ex5vur9s5orgck,Eco_story024,The Economist,15-Nov-14,Map_extent024,,FALSE,TRUE,FALSE,TRUE
images/Eco_map023.JPG,Gas Pipelines in Mexico,Eco_map023,Energy in North America: A new Mexican revolution,https://uwmadison.box.com/s/dh7gn1jrogg2zbao8kmt,Eco_story023,The Economist,15-Nov-14,Map_extent023,,FALSE,FALSE,FALSE,FALSE
images/Eco_map022.JPG,"Before/After in Monrovia, Liberia",Eco_map022,Data and development: Off the map,https://uwmadison.box.com/s/sh1ktaqw01hkwj2z2cbq,Eco_story022,The Economist,15-Nov-14,Map_extent022,,FALSE,FALSE,FALSE,FALSE
images/Eco_map021.JPG,Approximate distance from three main centres of Ebola infection,Eco_map021,Economic consequences of Ebola: The ignorance epidemic,https://uwmadison.box.com/s/8lvsroh9jld6q5cp1ryy,Eco_story021,The Economist,15-Nov-14,Map_extent021,,FALSE,FALSE,FALSE,FALSE
images/Eco_map020.JPG,Areas of Control in Syria,Eco_map020,The war in Syria: Can hell be frozen over? ,https://uwmadison.box.com/s/8ivz9q3v4tmo0z92o41b,Eco_story020,The Economist,15-Nov-14,Map_extent020,,FALSE,FALSE,FALSE,FALSE
images/Eco_map019.JPG,"Disputed maritime boundaries, South China Sea",Eco_map019,Maritime power: Your rules or mine?,https://uwmadison.box.com/s/ef7de8tw3ylnrsi2wqkl,Eco_story019,The Economist,15-Nov-14,Map_extent019,,FALSE,FALSE,FALSE,FALSE
images/Eco_map018.JPG,Trans-Pacific container trade,Eco_map018,The Pacific Age,https://uwmadison.box.com/s/w8r5zm1cscuppv6c88sp,Eco_story018,The Economist,15-Nov-14,Map_extent018,,FALSE,FALSE,FALSE,FALSE
